department,salary,averageMonthlyHours,projectCount,satisfaction,evaluation,yearsAtCompany,workAccident,turnover
7,1,266,2,38.0,53.0,3,0,1
7,2,252,5,80.0,86.0,6,0,1
7,2,289,7,11.0,88.0,4,0,1
7,1,275,5,72.0,87.0,5,0,1
7,1,292,2,37.0,52.0,3,0,1
7,1,271,2,41.0,50.0,3,0,1
7,1,268,6,10.0,77.0,4,0,1
7,1,274,5,92.0,85.0,5,0,1
7,1,269,5,89.0,100.0,5,0,1
7,1,280,2,42.0,53.0,3,0,1
7,1,274,2,45.0,54.0,3,0,1
7,1,280,6,11.0,81.0,4,0,1
7,1,279,4,84.0,92.0,5,0,1
7,1,286,2,41.0,55.0,3,0,1
7,1,270,2,36.0,56.0,3,0,1
7,1,291,2,38.0,54.0,3,0,1
7,1,258,2,45.0,47.0,3,0,1
7,1,287,4,78.0,99.0,6,0,1
7,1,277,2,45.0,51.0,3,1,1
7,1,290,5,76.0,89.0,5,0,1
7,1,270,6,11.0,83.0,4,0,1
7,1,265,2,38.0,55.0,3,0,1
7,1,262,6,9.0,95.0,4,0,1
7,1,265,2,46.0,57.0,3,0,1
7,1,275,2,40.0,53.0,3,0,1
7,1,274,5,89.0,92.0,5,0,1
7,1,276,4,82.0,87.0,5,0,1
7,1,278,2,40.0,49.0,3,0,1
2,1,283,2,41.0,46.0,3,0,1
2,1,281,2,38.0,50.0,3,0,1
2,1,259,6,9.0,62.0,4,0,1
3,1,284,2,45.0,57.0,3,0,1
3,1,289,2,40.0,51.0,3,0,1
3,1,280,2,45.0,55.0,3,0,1
3,1,261,4,84.0,87.0,6,0,1
9,1,299,6,10.0,94.0,4,0,1
9,1,276,2,38.0,46.0,3,0,1
9,1,270,2,45.0,50.0,3,0,1
9,1,279,6,11.0,89.0,4,0,1
9,1,273,2,41.0,54.0,3,0,1
9,1,288,5,87.0,88.0,5,0,1
9,1,277,2,45.0,48.0,3,0,1
9,1,269,2,40.0,46.0,3,0,1
9,1,264,7,10.0,80.0,4,0,1
9,1,282,6,9.0,89.0,4,0,1
9,1,265,3,84.0,74.0,4,0,1
8,1,294,2,40.0,55.0,3,0,1
8,1,281,3,57.0,70.0,6,0,1
8,1,286,2,40.0,54.0,3,0,1
8,1,252,2,43.0,47.0,3,0,1
8,1,270,6,13.0,78.0,2,0,1
8,1,276,2,44.0,55.0,3,0,1
8,1,276,2,38.0,55.0,3,0,1
8,1,265,2,39.0,54.0,3,0,1
8,1,277,7,10.0,92.0,4,0,1
8,1,277,2,37.0,46.0,3,0,1
8,1,271,7,11.0,94.0,4,0,1
9,1,265,6,10.0,81.0,4,0,1
9,1,262,2,38.0,54.0,3,0,1
9,1,289,4,85.0,100.0,5,0,1
4,2,260,5,85.0,91.0,5,0,1
0,2,275,7,11.0,93.0,4,0,1
0,2,263,6,10.0,95.0,5,0,1
0,2,283,2,36.0,56.0,3,0,1
0,2,265,6,11.0,94.0,4,0,1
0,2,263,6,81.0,70.0,4,0,1
6,2,268,2,43.0,54.0,3,0,1
6,2,303,4,90.0,98.0,6,0,1
6,2,289,5,76.0,86.0,5,1,1
6,2,254,2,43.0,50.0,3,0,1
0,2,266,2,74.0,99.0,3,0,1
6,2,287,5,9.0,77.0,4,0,1
6,0,271,2,45.0,49.0,3,0,1
6,1,281,7,9.0,87.0,4,0,1
6,2,283,6,11.0,97.0,4,0,1
6,2,284,7,11.0,79.0,4,0,1
6,2,275,6,10.0,83.0,4,0,1
5,2,269,2,40.0,54.0,3,0,1
7,1,288,2,43.0,56.0,3,0,1
2,1,268,2,39.0,56.0,3,0,1
8,1,275,2,45.0,54.0,3,0,1
9,1,264,2,38.0,49.0,3,0,1
4,1,277,4,79.0,59.0,3,0,1
5,1,284,4,84.0,85.0,6,0,1
5,1,258,6,11.0,77.0,4,0,1
5,1,276,6,11.0,87.0,4,0,1
7,1,274,5,17.0,84.0,3,0,1
7,1,284,2,44.0,45.0,3,0,1
7,1,281,2,37.0,57.0,3,0,1
7,1,279,6,10.0,79.0,4,0,1
7,1,273,2,40.0,50.0,3,0,1
7,1,268,5,89.0,100.0,5,0,1
7,1,294,2,42.0,48.0,3,0,1
7,1,295,2,46.0,55.0,3,0,1
7,1,274,6,9.0,83.0,4,0,1
7,1,272,2,37.0,51.0,3,0,1
7,1,300,6,10.0,77.0,4,0,1
7,1,259,6,10.0,84.0,4,0,1
7,1,274,6,11.0,97.0,4,0,1
7,2,272,5,90.0,100.0,6,0,1
7,2,279,2,38.0,52.0,3,0,1
7,2,276,2,36.0,52.0,3,0,1
7,2,286,2,42.0,46.0,3,0,1
7,2,265,7,9.0,94.0,4,0,1
7,2,269,2,43.0,52.0,3,0,1
2,2,266,7,24.0,46.0,5,0,1
2,2,258,4,91.0,100.0,5,0,1
2,2,276,2,44.0,50.0,3,0,1
3,2,295,3,71.0,87.0,4,0,1
3,2,266,2,40.0,49.0,3,0,1
3,2,271,2,43.0,47.0,3,0,1
3,0,279,6,9.0,85.0,4,0,1
9,1,260,2,43.0,52.0,3,0,1
9,2,273,4,90.0,96.0,5,0,1
9,2,286,5,84.0,100.0,5,0,1
9,2,268,2,37.0,48.0,3,0,1
9,2,280,5,86.0,68.0,2,0,1
9,1,281,6,11.0,84.0,4,0,1
9,1,280,2,37.0,57.0,3,0,1
9,1,290,2,40.0,46.0,3,0,1
9,1,273,4,14.0,62.0,4,1,1
9,1,271,2,40.0,46.0,3,0,1
9,1,270,4,75.0,100.0,6,0,1
8,1,276,6,11.0,84.0,5,1,1
8,1,273,2,46.0,49.0,3,0,1
8,1,273,6,11.0,92.0,4,0,1
8,1,276,2,38.0,49.0,3,0,1
8,1,264,3,70.0,89.0,5,0,1
8,1,277,6,9.0,82.0,4,0,1
8,1,283,2,37.0,45.0,3,0,1
8,1,259,6,10.0,83.0,4,0,1
8,1,291,2,38.0,57.0,3,0,1
8,1,287,5,90.0,100.0,5,0,1
8,1,275,2,44.0,51.0,3,0,1
9,1,277,2,36.0,50.0,3,0,1
9,1,275,7,31.0,84.0,5,0,1
9,1,271,6,10.0,84.0,4,1,1
4,1,280,2,42.0,48.0,3,0,1
0,1,288,4,74.0,100.0,5,0,1
0,1,283,5,73.0,87.0,5,0,1
0,1,263,6,9.0,96.0,4,0,1
0,1,280,2,45.0,53.0,3,0,1
0,1,270,6,11.0,80.0,4,0,1
6,1,279,2,37.0,47.0,3,0,1
6,1,277,4,84.0,99.0,5,0,1
6,1,282,2,41.0,46.0,3,0,1
6,1,292,4,76.0,92.0,5,0,1
0,1,265,6,11.0,87.0,4,0,1
5,1,265,4,84.0,88.0,5,1,1
5,1,279,2,39.0,50.0,3,0,1
5,1,270,6,11.0,91.0,4,0,1
5,1,266,2,45.0,56.0,3,0,1
5,1,279,2,37.0,52.0,3,0,1
5,1,278,2,40.0,52.0,3,0,1
7,1,279,2,39.0,48.0,3,0,1
2,1,274,6,11.0,80.0,4,0,1
8,1,282,5,83.0,100.0,5,0,1
9,1,286,6,11.0,92.0,4,0,1
4,1,273,2,39.0,50.0,3,0,1
5,1,268,2,45.0,45.0,3,0,1
5,1,277,7,10.0,95.0,4,0,1
5,1,284,5,90.0,98.0,6,0,1
7,1,287,2,45.0,51.0,3,0,1
7,1,270,5,79.0,89.0,5,0,1
7,1,260,5,90.0,99.0,5,0,1
7,1,272,7,11.0,84.0,4,0,1
7,1,278,2,43.0,55.0,3,0,1
7,1,289,5,31.0,54.0,5,0,1
7,1,286,2,32.0,50.0,5,0,1
7,1,259,2,45.0,57.0,3,0,1
7,1,282,4,81.0,99.0,5,0,1
7,1,291,2,41.0,46.0,3,0,1
7,1,284,7,11.0,78.0,4,0,1
7,1,286,6,10.0,88.0,4,0,1
7,1,292,2,70.0,53.0,4,0,1
7,1,275,4,54.0,74.0,2,0,1
7,1,269,2,41.0,48.0,3,0,1
7,2,274,2,38.0,50.0,3,0,1
7,2,272,2,37.0,51.0,3,0,1
7,2,290,6,11.0,85.0,5,0,1
7,2,303,2,40.0,47.0,3,0,1
2,2,284,6,10.0,84.0,4,0,1
2,2,286,5,89.0,99.0,5,0,1
2,2,284,6,11.0,80.0,4,0,1
